zipcode,centroid_lat,centroid_lon,regional spatial type,population,capacity,rc_centroid_lat,rc_centroid_lon
71,49.06838691581704,9.922519051453737,rural,10318,133114,49.06751601817688,9.935354754544395
72,53.56527747316966,14.648489876395946,urban,17407,150807,53.563563846838335,14.662749080645566
73,50.66492118657143,12.157401847889115,rural,7996,101800,50.691829514121125,12.140394139502122
74,53.62635317060879,12.278827126636116,rural,8006,127193,53.62710682324784,12.268760113758097
75,50.26531073124061,8.507912784726733,urban,9335,0,50.2652415945896,8.499199454105035
76,52.99644613473479,11.788590363439797,rural,6593,122942,52.991771706344586,11.791886543010913
77,49.91450645703491,5.869378068296152,urban,3049,0,49.91034251844658,5.887673218800755
78,55.08228337627385,13.380159247737051,rural,8361,0,55.08861418509076,13.390387161055578
79,54.68238268748251,6.251021847778121,urban,14431,93743,54.66185808689363,6.246219716847327
80,48.32174307183031,8.006321237733268,urban,8607,99946,48.32602054886374,8.00244341603506
81,47.64916533750604,7.461814886618297,urban,1009,0,47.65867489758987,7.447288351359853
82,49.19426687530766,8.90225384937025,rural,6032,118500,49.18033066035884,8.89365551454235
83,51.871835073222925,14.052744655317866,rural,5099,0,51.864932610189015,14.043171667043188
84,52.71074347914111,13.971332552768638,urban,2885,0,52.72142973810457,13.965937545509965
85,51.05413002701986,9.824714427235834,urban,11212,0,51.06256068711802,9.82929423766494
86,52.04125667345563,10.249747779889448,rural,15108,0,52.04529804727962,10.254878942256312
87,48.8349282294777,6.191166216713976,rural,17892,81933,48.831429373791096,6.202738806011651
88,53.31963848811073,11.228314694847594,rural,1565,0,53.32276013010161,11.236301400422828
89,47.97625930144822,13.73937068511145,rural,11985,0,48.008093746587065,13.745260448290708
90,54.720595250198656,10.823168442583672,urban,19978,0,54.72641430042003,10.82185063986012
91,47.75512152981422,12.378198792261134,rural,2054,81249,47.76811090617532,12.363791149921797
92,53.792888796879616,6.880716501422498,urban,11077,109877,53.79997628636114,6.899115059700086
93,52.96693803039128,7.373850214433236,rural,10893,0,52.96344662483222,7.380129113215047
94,48.13335368081868,11.830029409782243,rural,4687,102744,48.14230850398704,11.818856521093208
95,52.39541539369135,6.256583679808402,urban,19360,99014,52.3953825511844,6.267065718418201
96,54.25280483305997,11.904046067270931,rural,6877,142736,54.232465535904886,11.907703621234145
97,49.14782057997059,9.565288276517665,rural,8035,145594,49.14662484809612,9.555496605248416
98,48.46063045904948,6.901686660530671,rural,2420,0,48.45609444651544,6.903243217889597
99,52.70657142267231,11.458725109347498,urban,181,133251,52.71842064516656,11.46052447695526
100,50.48014383350563,9.13686329175597,rural,17102,0,50.48870753090274,9.134406832268231
101,55.00304944583249,6.910778321386308,urban,1114,0,55.00456142188727,6.914712707032457
102,51.2269833509153,13.555078431310712,rural,368,102783,51.21194331898303,13.532996496798775
103,52.793607924954586,7.723436750246326,urban,6176,115021,52.79468954981763,7.718199661891339
104,53.46018257996726,14.592130967140385,urban,5650,0,53.45548945526058,14.60342425958146
105,47.28289539269199,9.384078365195862,rural,10921,0,47.28664018226459,9.376989823245072
106,48.13202358929357,6.383235187104915,urban,6353,0,48.16213008122439,6.356231750926065
107,49.37361116362997,12.868292586071243,rural,16106,120451,49.384771369434176,12.898414516297754
108,50.22584297581721,13.864097475210148,urban,14196,123448,50.23306331465975,13.863309098598137
109,52.3822610863697,7.698458268513878,urban,781,0,52.37487051174588,7.706915586727412
110,53.03951422313022,6.641357661761226,rural,4869,100749,53.02216004163806,6.645955048094804
111,48.99125923190379,8.900686817330584,urban,14906,129584,48.9896516873371,8.906014401926502
112,51.52311854271839,10.797630694163791,urban,19417,133711,51.5225142488985,10.816453687329414
113,47.81739965593653,8.608367752641666,urban,8598,83432,47.81798369794341,8.621206146723907
114,47.81044593760341,6.76940130322177,urban,12618,0,47.80830369629449,6.773954631716647
115,49.63075700083781,14.0932895726911,rural,4750,98507,49.63764706814554,14.093845499621109
116,54.0770258210317,7.271773312664869,rural,17436,124878,54.09512998918366,7.26647667311205
117,47.44424769311033,12.028126615105418,urban,3627,0,47.45058501496799,12.018277125598267
118,53.81023494468965,14.253214753497735,urban,17033,0,53.81667521285186,14.2393444821506
119,47.43416470803704,14.898573933651514,rural,13575,68269,47.44132086334331,14.921344759122162
120,48.79473720042949,14.185874021264478,rural,9961,0,48.80379111684543,14.189604554678256
121,54.48424815921738,6.909492833259149,urban,4788,110050,54.48747636103165,6.906229592662671
122,49.69746781191215,6.504083642491393,urban,6097,89241,49.7137905311678,6.508955658063366
123,50.26092904786648,14.78996514044217,urban,14589,0,50.26391200215815,14.793553479246812
124,47.58720192402492,12.750682226178736,urban,8177,81517,47.59904126004162,12.761002142214004
125,48.28166739936308,9.92886649820695,urban,17037,0,48.28685767657803,9.926553943199426
126,51.3689816014018,7.103771651008272,urban,7072,110259,51.36704263050808,7.106429552936302
127,50.59436548169575,6.001446712092991,rural,11219,76945,50.60239743474983,6.003966652189323
128,48.93394626610807,11.799140832842166,rural,4435,116223,48.92935983415659,11.804930960650507
129,51.61563211409992,6.064783116344872,rural,17266,0,51.62806770792216,6.084178147081627
130,52.13585351840474,12.78029363073306,rural,6824,0,52.14377655403034,12.786686423557114
131,49.08884797079369,14.898521809028184,rural,7266,0,49.08347266762252,14.87994278343185
132,54.08166073214913,13.522517151148982,rural,15142,0,54.06901609843517,13.522461950992978
133,47.35138231259965,14.79590527511606,urban,15376,64061,47.35748289025964,14.76673537104994
134,52.2487095023443,9.849857110565548,rural,5949,115447,52.24401081539322,9.862042410039766
135,47.96941737112928,10.16950502776869,rural,4260,0,47.9648104628281,10.160283053551575
136,49.04908392709266,10.087343143638664,rural,19599,0,49.037476770367576,10.083749465620413
137,53.097870800075256,6.2150092990549375,urban,7497,0,53.10363261576185,6.208976968376612
138,52.59752483829425,13.876880628750994,urban,9524,103186,52.613276884879,13.88712233134772
139,47.44449271724926,8.392310156501662,rural,2909,0,47.44862627793862,8.408558684518502
140,53.608282878884005,10.23127776099084,urban,8760,122549,53.60474063200479,10.215525042833011
141,51.96480210056527,6.195779096476999,urban,14757,87466,51.94209045849466,6.196331475124353
142,49.26759976857519,10.36316355299842,rural,3949,0,49.27863237773032,10.360994493947445
143,47.85645383694264,10.507096209379636,rural,18449,0,47.851721701626005,10.495644364740052
144,49.4899113157048,6.283457850033934,rural,18692,109211,49.4969710361292,6.298623332032783
145,51.5282595330359,6.326286530264695,urban,698,0,51.51416445323786,6.300109477605657
146,49.21317954837996,10.642867905552544,rural,11914,114462,49.18151119359455,10.64006799953625
147,49.725966441687085,14.427536702410508,urban,3142,85649,49.72740067174809,14.42353119673411
148,51.032964959446005,13.665870173434788,rural,12849,105651,51.03412246787278,13.648259316639251
149,54.97420169633862,9.220668165756456,rural,18526,0,54.964053091167806,9.219372149734264
150,52.64907459874395,9.74236738503182,rural,3020,111357,52.63254784888813,9.7415275594694
151,54.9048479333052,7.593466312151326,rural,2048,0,54.89904840797777,7.584129396336133
152,48.26198593922013,9.1038553796875,urban,1324,0,48.2505729160772,9.091551064057152
153,52.97801376057364,7.05687935569023,urban,12904,107743,52.9724539312318,7.063033329316271
154,49.9085568191889,7.3520549431663795,rural,8561,0,49.91604818618803,7.330685995238344
155,54.7961224308908,8.415647983180724,rural,13204,100294,54.784420770296975,8.417903413956443
156,48.66248459696221,12.926052149160718,rural,6191,104092,48.66720390228617,12.92081673774434
157,51.070019551463616,11.157113988597583,urban,7325,130601,51.07850331352516,11.134533682810892
158,53.68915615806795,8.4430642151064,rural,2463,114495,53.67447458011701,8.439959929491813
159,53.72512581113193,8.606823096289034,urban,5848,116202,53.72056430301381,8.601359345992073
160,51.1794733667523,12.485338147282851,rural,14423,120079,51.17428458271444,12.479494673392256
161,54.06507267731166,6.03497956127275,rural,1094,0,54.08347648974701,6.039532467207255
162,53.89001979976965,10.526189339717783,rural,18612,120937,53.89399008478637,10.52110676164632
163,51.13123831731871,6.744978590970492,rural,5023,0,51.12399663801448,6.742064058556006
164,49.51238602697251,8.710310414348255,rural,17086,122428,49.500924327400334,8.703441268710415
165,51.885698162129245,6.709392430648816,rural,6368,117295,51.86592403961349,6.695615667781058
166,54.34666206311189,12.421222936307055,rural,12698,143806,54.34781451590643,12.408789155028138
167,53.38443000336218,14.455457010932587,rural,4565,130836,53.388569407779904,14.459849880593383
168,48.8147394733384,9.68979825382866,rural,17755,0,48.80753668682978,9.687201601335602
169,54.49315088223455,7.004804439526161,rural,19103,114854,54.4994074560385,7.004844723693165
170,55.01587459837635,15.0067630829309,urban,15151,58493,55.02569377671389,15.007257885181412
171,54.5205539051276,10.799728721060628,urban,6880,0,54.53600293417162,10.804033337741158
172,48.70518666516354,10.171861930112351,rural,19528,0,48.70001068148755,10.179507656133596
173,50.34412191356488,8.42679897328285,urban,16410,125651,50.36224441132415,8.424479071346994
174,49.37403323531331,14.02330381986339,urban,15342,0,49.38827315016078,14.028729582088854
175,50.51592955399336,13.438530489848077,urban,13044,135529,50.50855631758276,13.45603233658849
176,49.731255818494304,9.794099649844764,rural,15533,114025,49.73039382671001,9.816246900138673
177,52.026093544932415,7.900178680488182,rural,13944,111013,52.00518764313343,7.903715829407075
178,53.060559661903405,13.485859628074053,rural,16862,0,53.06022058061507,13.495250231918776
179,55.0464649283715,8.053742327707171,rural,13538,0,55.06152841067684,8.0660590711466
180,52.86057210884773,6.312759800084834,rural,4218,0,52.87840704394748,6.315648845382878
181,53.74803946096534,12.94760956994351,urban,18140,132128,53.73846486739557,12.932112998532675
182,49.95863617318309,9.191362644671557,urban,4765,0,49.95879051269385,9.193874208284182
183,47.42776352238574,14.749333347062278,rural,6255,73299,47.42846793912307,14.76366241423858
184,54.41606052824817,7.727562229531514,urban,3075,95693,54.41337691575948,7.72715387931648
185,54.73873810618717,5.908423834952598,urban,396,61651,54.73029075772779,5.919623006683314
186,54.379131649982746,8.267669336164815,rural,5151,101540,54.37848884441863,8.259644493493427
187,51.69810582194168,14.281456117721962,urban,12226,100506,51.70146990776054,14.282152860065851
188,48.628618325270416,8.261218382718162,rural,4396,0,48.61898784027984,8.257152787895269
189,51.27435724727927,10.52277780602574,rural,10280,136640,51.26902586676562,10.524347274948092
190,47.38095588565975,14.495949993004151,rural,9723,0,47.38065618114111,14.508958652741876
191,53.71199911462945,11.584418264208614,urban,8570,0,53.70633189648503,11.578427093626528
192,52.55874737843007,11.960314552969132,urban,15346,126279,52.56103339829754,11.955892886606229
193,53.792144403153046,11.871100670978002,rural,7667,141550,53.78940234795931,11.870154451173525
194,48.907743655938525,12.388331720540709,urban,6064,0,48.91502881472841,12.3908737264007
195,55.09232057262384,7.989596647493048,rural,11657,64273,55.10325134068707,7.998895563710727
196,48.46878640511237,14.15399800441496,rural,16650,99740,48.46025172138282,14.150701357203111
197,48.88006238405891,7.736095343681073,urban,3263,125625,48.88097910270493,7.729613646600723
198,52.720697817101446,13.420333343562175,rural,975,0,52.72566604318832,13.417585981470989
199,53.58865519947224,7.553666954755175,rural,13398,0,53.58805539190905,7.549494296147439
200,49.47152673304704,8.445164244961717,urban,6682,124088,49.46221389180805,8.432211201181975
201,51.75038310914111,12.900155592912071,urban,15710,126775,51.75513858782941,12.899376900761544
202,47.48822672729736,9.68076312577086,urban,7985,0,47.48115660342759,9.672434010325052
203,47.65149134670782,6.175130648917732,urban,19160,0,47.65434309875014,6.17861387605794
204,48.08407581010085,10.874828473592368,rural,10706,0,48.09251150604347,10.876520871550689
205,52.96771973556751,14.0416378881866,urban,9301,0,52.97156458909743,14.037861937517413
206,47.51001690416089,7.508352892202904,urban,16946,89253,47.50209497154115,7.504767821744412
207,54.19032387504036,11.242837601516982,urban,13140,125513,54.20213763138429,11.233300751803654
208,53.0940338555526,11.320001221927363,rural,14159,0,53.099892795337006,11.32596192081767
209,48.22707237840218,11.968964393864546,urban,12000,0,48.220604798390575,11.98753595616394
210,52.11151113488079,9.87628958752988,urban,15020,125522,52.10830394917323,9.87704980064213
211,54.50796114598674,6.786044620108964,urban,15439,0,54.50427841547065,6.785529300932046
212,48.66138500684529,12.465464399623343,rural,7198,0,48.67513617034808,12.461268779926296
213,48.64919611829125,6.501769763276927,rural,8257,84410,48.627226380049215,6.503124424111637
214,49.36617940890629,14.035375761727432,rural,14517,105660,49.37438169489352,14.056325740058456
215,47.97803645751125,6.128064425216672,rural,19023,0,47.98535708471976,6.130397201633616
216,53.33446027007062,6.589146575101348,rural,11658,0,53.34613561620009,6.592977420419599
217,48.42119769034856,11.537688642362191,rural,18846,132434,48.42805783251792,11.53733100133977
218,52.88739911300164,12.650788763354896,urban,14441,0,52.88481244244544,12.656334968301046
219,49.8146856316652,14.867887553548249,rural,10268,83224,49.81734292426938,14.878664172118684
220,52.460492986183866,9.111684652267524,rural,15691,118883,52.448401408757405,9.086200457513655
221,51.52923945354577,14.035913394351022,urban,1400,93193,51.5258336227154,14.033990325610532
222,51.25105459912796,13.156979334393087,rural,14605,117108,51.23538170527316,13.171101525603332
223,50.64287592530508,8.439691846186037,rural,6738,119934,50.64710345137655,8.427005197647137
224,55.00771268962076,10.141776571349004,urban,13676,93939,55.00921649086701,10.127358814900804
225,55.04356825874847,11.70307097408853,urban,5430,0,55.0451712365778,11.715175559459022
226,50.35910556543441,10.3132337952294,rural,19540,121239,50.34853212410683,10.32296339223698
227,48.6589552977764,13.278284132106602,rural,610,90513,48.66525326087504,13.289070358733072
228,47.64869721549096,14.733522452732265,urban,8773,0,47.6595967001622,14.72356852907204
229,52.1953310725422,7.045749068807711,rural,1431,0,52.18336222617456,7.051883414620807
230,50.24957311594776,12.507141126679546,rural,15883,104671,50.23646009970832,12.507915536809382
231,52.53602992082377,13.961920281476525,urban,12006,105172,52.53775394622525,13.969895734465092
232,51.57391710822432,11.788518237966684,rural,16662,0,51.58311657316915,11.793629964433617
233,51.774399069135065,14.554084704168902,urban,475,78642,51.76512478532658,14.546465827097355
234,49.17209851871662,15.005957353028332,rural,9920,0,49.194720848673605,15.025740074001591
235,51.4910588405054,14.325377052659771,urban,3651,0,51.49024763265421,14.316329934629204
236,50.07754929621259,6.352096112460328,urban,13714,98057,50.086727893806696,6.348364691448577
237,52.25905353096569,11.804298290861542,rural,9358,119348,52.25506505461118,11.803665931663357
238,50.05666417032631,7.922511962091317,urban,6803,0,50.0569724296386,7.933691847185341
239,52.35024742866267,14.879157030099794,rural,11513,0,52.33673956783703,14.859836887997742
240,54.87585626603476,7.035807996236402,urban,10591,91633,54.8870751487429,7.036734046084267
241,54.030318974789736,7.086895059700798,urban,12672,122046,54.02884036475425,7.069727325588014
242,48.38640102342601,10.72002440249152,rural,9416,108021,48.37864055982067,10.715867361786866
243,52.80122306824273,12.734515055700584,rural,5093,0,52.80130628861817,12.737027826012849
244,50.61775704571438,11.414132135824278,rural,2821,120499,50.61966251541249,11.404173697070917
245,51.87522293781135,6.979385394670068,rural,16597,117431,51.90197784481087,6.97498476948155
246,51.18132818725919,12.785519945512734,urban,10,0,51.19803185156904,12.7787937348661
247,47.890927410251,9.12394281917922,urban,9970,99176,47.89002583103863,9.113785329297258
248,50.38954757508968,11.185100279398725,rural,14569,119309,50.381698466919495,11.17065881117194
249,53.92964065697152,9.57880678455868,urban,2233,0,53.9345358714009,9.57391345539322
250,50.731232849361234,13.312889831648596,rural,15164,0,50.73319144044582,13.299834409088612
251,52.57864686218222,7.480004200348399,urban,16084,0,52.58980757705928,7.476716518171409
252,48.25609301315466,14.024043963685273,rural,18160,96330,48.24260836057186,14.03310665353453
253,49.77565884333118,14.126978526804477,rural,14665,0,49.76849918322748,14.127951796549375
254,51.62535674827725,10.304291247219606,urban,344,0,51.61626394807829,10.320751606903022
255,54.03479156936029,9.367753542288852,urban,18285,127535,54.02751697712559,9.369753028290535
256,52.48110555608123,8.153074417978583,urban,16616,134844,52.46887518582113,8.157651637164967
257,51.095319277373854,6.088174020389898,urban,8384,0,51.10251904690519,6.093922155553001
258,48.65095352624487,9.183266926677096,rural,12203,0,48.65658582169763,9.174296914304788
259,48.3330283606231,15.035228415410284,urban,10722,55177,48.32919408276862,15.038162073643102
260,50.94679326776144,10.044529461750177,urban,8717,128058,50.95253223094428,10.045401151012246
261,52.9721194015675,10.691476204634526,urban,8568,117228,52.95448921101236,10.68795054081897
262,54.93181962949645,13.259585530252732,rural,384,0,54.93663639684494,13.25258074217969
263,50.372620130774216,14.38060293736119,rural,9067,0,50.36485161830536,14.384913272438794
264,50.79280696570683,8.035668275994079,urban,501,0,50.80551459614056,8.045715137491118
265,54.25499385469595,6.567264894059749,urban,18742,0,54.27995137133071,6.585218417861749
266,47.60071660831679,6.190889287939539,urban,12041,68766,47.60534022141728,6.185234037643497
267,52.74722895153963,10.480147440670512,rural,4793,0,52.75874838940277,10.475167481976818
268,50.7505608714213,6.335964804483028,rural,10459,83122,50.768431719199775,6.333967543826029
269,53.08551221156207,5.952990043003617,rural,17870,0,53.09378041518806,5.95372660467481
270,49.78558595264145,8.068565285151813,rural,3304,117990,49.78111453223366,8.073900603733708
271,50.29515050595647,14.733382980086164,rural,6839,85033,50.282913584816285,14.740496418352492
272,47.42446196535016,10.056030823183184,rural,2751,0,47.42975273487605,10.064637795556449
273,51.874341711598994,11.994274111024424,rural,10276,122870,51.871400434698565,12.000876572004902
274,48.18185025449717,8.145549185037359,rural,15555,95078,48.19806682932414,8.145270278429653
275,47.93935630646652,11.03422937925449,urban,5570,94231,47.93888972797616,11.044322319482308
276,49.98154904569628,8.57490961642239,rural,14069,0,49.984901400077895,8.588777609062118
277,54.15625756223229,6.97819897708041,rural,4348,117147,54.16591827325011,6.971664429697726
278,55.02982993813494,7.095182869470575,rural,2136,0,55.04077558264921,7.098141174504403
279,54.827737295251325,14.20969839710322,rural,13089,94647,54.82669395279334,14.221032001133675
280,53.09564138961189,10.085216481599858,urban,1106,0,53.089355260870974,10.10189754970428
281,48.84583699549484,14.529984708408646,rural,4188,93301,48.83116160217348,14.524568132648088
282,50.53100889777183,13.8849158906273,rural,13159,0,50.5397858644562,13.881866579979455
283,49.73244228309424,9.672995186706732,rural,7195,110457,49.75049057282488,9.672958149942728
284,52.773789958149656,9.110982333732723,rural,13761,0,52.79954885421013,9.110447069848115
285,51.32891575988694,12.287587879082713,rural,16294,0,51.349355321143854,12.294109201738268
286,47.84278842286344,9.691346493983373,rural,11961,97985,47.83006229736878,9.677218167434267
287,50.59552779041724,8.033823555802414,urban,5604,0,50.59526922068488,8.019978784005556
288,53.60944163760223,10.69780946689938,urban,14894,0,53.61849558633366,10.690589859206344
289,52.56956713253314,10.21878184586123,urban,6831,0,52.57806589045551,10.21698010401112
290,49.09535901883631,12.719019308999703,urban,17962,0,49.09813812268866,12.7155084653986
291,48.579763236160105,11.626895192922078,urban,437,113098,48.58657207018552,11.61756763454995
292,52.1682743719562,12.580373737744004,urban,8633,114609,52.17221973023825,12.580997663100934
293,48.777765662491085,12.546935390442757,urban,7955,0,48.76204430033314,12.550571333943564
294,52.88335598610915,10.010624866509808,rural,2826,112565,52.88151384460178,9.998199389850768
295,53.68510022427815,9.80924670044135,urban,6988,124890,53.692755784758944,9.793375810887774
296,54.097881414251646,15.001575803384275,rural,19296,85055,54.09978726156925,15.010708571150024
297,50.2746117870182,11.670867813958353,urban,18027,0,50.27717189388765,11.683844577071085
298,47.37007132965293,13.579281418644529,urban,8999,60800,47.3833298304984,13.587101447994929
299,51.91174936684964,9.057449961423478,urban,17678,104987,51.92608637083937,9.052594954428152
300,49.94940145843229,12.022155648240512,rural,15038,115958,49.94753676884893,12.039828217509667
301,49.06096830433328,6.483859305982223,urban,11260,97294,49.05907052467736,6.478831369989419
302,50.39860945047482,8.398618949153242,urban,502,0,50.39365694820778,8.399603849942777
303,54.39725119351665,6.16463833961466,urban,3876,91972,54.40866852819594,6.175999674217684
304,47.63218197932964,10.600684490306444,rural,9862,99976,47.62726268771807,10.586779135006203
305,54.20435685235575,6.0974420517253565,urban,19745,0,54.21976465631818,6.093679542266505
306,47.432889793474935,14.035370991800164,rural,15960,81801,47.43163813923199,14.039266180708855
307,47.72749946885407,7.251863464661835,urban,3265,0,47.73648604855005,7.266368006303623
308,51.031073409335015,9.62693517255471,rural,14291,0,51.02372672598045,9.635724628054216
309,48.50719669615648,8.50921009229015,rural,3663,101367,48.51353645770701,8.522771808422213
310,53.578516881787,14.457073574329067,rural,6094,0,53.57215271746456,14.451539121478568
311,47.769111178492885,14.670700154982717,rural,11541,74114,47.7601008201346,14.673667766286892
312,53.404798263081936,12.496554565921912,urban,871,0,53.39767339028512,12.49814630057471
313,49.112200498325706,10.789350439596424,rural,10325,120686,49.11606180878695,10.801366994550454
314,50.16630938752971,13.628513118055722,rural,15533,0,50.17140149250268,13.6060836745224
315,47.4872881862312,13.925182947576236,urban,14366,0,47.47541012543442,13.9396724194698
316,51.92887744301496,14.606675669599191,rural,12707,0,51.93006890145004,14.61068537645102
317,53.377925389785865,9.566898255014175,urban,15956,0,53.38816260025956,9.549021475283643
318,54.2133650832925,11.85120416177697,urban,6744,0,54.21109168042269,11.826665874526062
319,53.610894414118015,8.129122701145288,urban,18815,0,53.61528345233153,8.144395188739338
320,50.11820624742609,5.953336551916094,rural,13381,78537,50.10526832752455,5.944811506876522
321,52.56578920677798,8.815927111566067,urban,11374,0,52.56640363573268,8.79957641482373
322,53.05735729658708,14.472724320538012,urban,1330,0,53.06068285062474,14.4655336992685
323,49.350954774688,7.495498299764327,rural,10878,0,49.34721968575766,7.5049303409570065
324,54.130138050660655,8.77180918051443,urban,2469,0,54.13981955006324,8.765036454692877
325,50.47670178499387,11.13319970196154,urban,16971,0,50.487808124646165,11.129408577975344
326,48.51040384889927,14.566251910989417,rural,9464,93281,48.50877839501912,14.578004561406004
